,date,code,name_x,weight,name_y,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,,,,name_y,roe,,
0,2019/10/31,600000,浦发银行,1.16,浦发银行,14.43,33.02,43.3231,53099,2.3764,160792,7.4377,,浦发银行,12.75,浦发银行,11.85,,1
1,2019/10/31,600004,白云机场,0.15,白云机场,12.94,22.6,39.6104,1393.853,1.2119,6166.6831,5.362,,白云机场,10.63,白云机场,7.23,,
2,2019/10/31,600009,上海机场,0.58,上海机场,12.58,40.36,45.1319,2805.6507,1.4559,6951.4745,3.6074,,上海机场,14.65,上海机场,14.98,,1
3,2019/10/31,600010,包钢股份,0.2,包钢股份,0.18,0.27,8.6016,85.0337,0.0026,31028.1803,0.9529,,包钢股份,4.17,包钢股份,6.33,,
4,2019/10/31,600011,华能国际,0.2,华能国际,10.81,7.74,21.4598,8814.2909,0.5798,113814.236,7.4875,,华能国际,2.37,华能国际,1.72,,
5,2019/10/31,600015,华夏银行,0.37,华夏银行,12.92,30.73,40.795,19677,1.8414,64025,5.9917,,华夏银行,11.79,华夏银行,9.6,,
6,2019/10/31,600016,民生银行,1.21,民生银行,13.96,30.82,38.764,47843,1.3112,155211,4.254,,民生银行,13.14,民生银行,11.98,,1
7,2019/10/31,600018,上港集团,0.15,上港集团,11.42,22.12,30.08,6939.0772,0.2994,31359.1785,1.3532,,上港集团,16.6,上港集团,13.6,,1
8,2019/10/31,600019,宝钢股份,0.41,宝钢股份,7.39,4.83,12.7291,8965.5141,0.545,185458.6496,11.2738,,宝钢股份,11.65,宝钢股份,12.2,,
9,2019/10/31,600023,浙能电力,0.13,浙能电力,10.77,16.02,22.3441,6277.0672,0.4615,39176.6123,2.8804,,浙能电力,7.13,浙能电力,6.59,,
10,2019/10/31,600025,华能水电,0.06,华能水电,1.5,4.39,44.3561,508.1679,0.0565,11552.0278,1.2856,,华能水电,5.55,华能水电,13.11,,
11,2019/10/31,600027,华电国际,0.09,华电国际,7.84,5.27,22.5938,3344.443,0.339,63346.051,6.4226,,华电国际,1.03,华电国际,3.25,,
12,2019/10/31,600028,中国石化,0.52,中国石化,6.51,2.4,22.7222,46416,0.3833,1930911,15.9485,,中国石化,7.02,中国石化,8.78,,
13,2019/10/31,600029,南方航空,0.18,南方航空,11.7,4.4,16.0577,5055,0.5148,114792,11.6925,,南方航空,11.92,南方航空,4.58,,
14,2019/10/31,600030,中信证券,1.35,中信证券,7.26,27.27,37.3722,10365.1686,0.8554,38001.9235,3.1362,,中信证券,7.63,中信证券,6.13,,
15,2019/10/31,600031,三一重工,0.63,三一重工,0.89,0.87,26.2055,203.457,0.0267,23280.072,3.0587,,三一重工,8.2,三一重工,19.42,,
16,2019/10/31,600036,招商银行,2.9,招商银行,15.42,29.7,37.1812,62081,2.4615,209025,8.2881,,招商银行,14.6,招商银行,14.91,,1
17,2019/10/31,600038,中直股份,0.11,中直股份,6.4,3.5,14.0658,439.1615,0.745,12521.514,21.2417,,中直股份,6.3,中直股份,6.61,,
18,2019/10/31,600048,保利地产,0.81,保利地产,13.91,8.02,28.9957,12421.5511,1.0475,154752.1381,13.0506,,保利地产,14.6,保利地产,15.5,,1
19,2019/10/31,600050,中国联通,0.45,中国联通,0.19,0.05,22.835,154.0741,0.0072,274196.7825,12.9358,,中国联通,0.31,中国联通,2.91,,
20,2019/10/31,600061,国投资本,0.16,国投资本,9.3,502.27,9.2834,2561.732,0.6934,510.0245,0.138,,国投资本,7.13,国投资本,4.61,,
21,2019/10/31,600066,宇通客车,0.15,宇通客车,29.76,11.27,27.8215,4043.7456,1.8264,35850.442,16.193,,宇通客车,20.18,宇通客车,13.83,,1
22,2019/10/31,600068,葛洲坝,0.13,葛洲坝,8.81,3.38,13.0538,3395.3126,0.7373,100254.1504,21.7717,,葛洲坝,11.41,葛洲坝,10.88,,
23,2019/10/31,600085,同仁堂,0.12,同仁堂,11.97,7.71,45.9777,933.1654,0.6804,12090.7401,8.8158,,同仁堂,12.08,同仁堂,12.24,,1
24,2019/10/31,600089,特变电工,0.19,特变电工,9.44,5.45,18.1944,2190.3482,0.6753,40117.4922,12.3687,,特变电工,7.46,特变电工,6.26,,
25,2019/10/31,600100,同方股份,0.16,同方股份,19.74,15.83,17.8683,4302.3293,1.4515,27174.3369,9.1684,,同方股份,0.48,同方股份,-24.26,,
26,2019/10/31,600104,上汽集团,0.65,上汽集团,16.67,4.28,12.867,32008.6107,2.9031,746236.7412,67.6823,,上汽集团,15.27,上汽集团,15.36,,1
27,2019/10/31,600109,国金证券,0.16,国金证券,7.42,27.8,35.0497,1298.7305,0.4294,4671.4624,1.5446,,国金证券,6.37,国金证券,5.18,,
28,2019/10/31,600111,北方稀土,0.17,北方稀土,1.09,1.77,21.5463,90.8356,0.025,5113.1632,1.4073,,北方稀土,4.53,北方稀土,6.32,,
29,2019/10/31,600115,东方航空,0.18,东方航空,9.55,4.57,16.2064,4508,0.3115,98560,6.8124,,东方航空,11.96,东方航空,4.85,,
30,2019/10/31,600118,中国卫星,0.1,中国卫星,8.15,6.27,13.5123,397.6643,0.3362,6337.2646,5.3592,,中国卫星,7.9,中国卫星,7.63,,
31,2019/10/31,600153,建发股份,0.1,建发股份,13.26,1.96,8.0188,2854.6628,1.0068,145590.8905,51.3511,,建发股份,14.1,建发股份,16.95,,1
32,2019/10/31,600170,上海建工,0.12,上海建工,9.08,1.56,10.2167,2095.5012,0.2938,133656.5351,18.7407,,上海建工,9.56,上海建工,8.94,,
33,2019/10/31,600176,中国巨石,0.13,中国巨石,13.87,20.42,44.7188,1521.0351,0.6253,7446.3337,3.0616,,中国巨石,17.26,中国巨石,16.67,,1
34,2019/10/31,600177,雅戈尔,0.18,雅戈尔,16.22,24.73,41.7287,3684.7473,1.4403,14894.9994,5.8225,,雅戈尔,1.21,雅戈尔,13.04,,
35,2019/10/31,600188,兖州煤业,0.07,兖州煤业,4.91,2.02,12.7844,2064.585,0.4203,101982.213,20.7617,,兖州煤业,12.32,兖州煤业,12.96,,
37,2019/10/31,600196,复星医药,0.2,复星医药,12.64,19.18,54.0745,2805.8371,1.162,14628.8204,6.0587,,复星医药,12.33,复星医药,9.67,,
38,2019/10/31,600208,新湖中宝,0.14,新湖中宝,20.09,42.84,20.2923,5838.4608,0.6789,13626.2422,1.5845,,新湖中宝,10.31,新湖中宝,7.45,,
39,2019/10/31,600219,南山铝业,0.12,南山铝业,4.14,9.92,22.6559,1312.7279,0.1418,13227.8862,1.4298,,南山铝业,4.92,南山铝业,3.76,,
40,2019/10/31,600221,海航控股,0.16,海航控股,5.6,7.71,22.9057,3138.255,0.1867,40678.13,2.4204,,海航控股,5.76,海航控股,-6.7,,
41,2019/10/31,600233,圆通速递,0.04,圆通速递,16.72,8.15,13.5576,1371.9352,0.4862,16817.8256,5.9611,,圆通速递,15.64,圆通速递,16.55,,1
42,2019/10/31,600271,航天信息,0.18,航天信息,16.7,5.99,17.1022,1535.9398,0.8316,25613.7766,13.8691,,航天信息,15.18,航天信息,14.55,,1
43,2019/10/31,600276,恒瑞医药,2.23,恒瑞医药,20.89,23.33,87.0681,2588.9521,1.1028,11093.7241,4.7258,,恒瑞医药,20.93,恒瑞医药,20.6,,1
44,2019/10/31,600297,广汇汽车,0.09,广汇汽车,11.89,2.06,8.8447,2802.9024,0.5095,135422.2631,24.6204,,广汇汽车,10.99,广汇汽车,8.8,,
45,2019/10/31,600299,安迪苏,0.02,安迪苏,15.44,17.45,47.4332,1865.3463,0.6955,10688.2631,3.9853,,安迪苏,10.05,安迪苏,6.8,,
46,2019/10/31,600309,万华化学,0.57,万华化学,24.82,12.22,31.0801,3679.4218,1.7015,30099.8615,13.92,,万华化学,40.81,万华化学,31.41,,1
47,2019/10/31,600332,白云山,0.15,白云山,8.69,7.52,33.0591,1508.0327,0.9275,20035.6815,12.3236,,白云山,10.92,白云山,15.86,,
48,2019/10/31,600339,中油工程,0.05,中油工程,7.78,2.54,8.8129,1287.5391,2.2269,50659.4413,87.6226,,中油工程,2.94,中油工程,4.06,,
49,2019/10/31,600340,华夏幸福,0.41,华夏幸福,25.59,12.06,33.0272,6491.5791,2.1968,53820.5875,18.2137,,华夏幸福,23.67,华夏幸福,26.83,,1
50,2019/10/31,600346,恒力石化,0.14,恒力石化,20.13,6.13,13.4601,1179.8343,0.4175,19239.9584,6.8089,,恒力石化,24.02,恒力石化,12.04,,1
51,2019/10/31,600352,浙江龙盛,0.29,浙江龙盛,12.98,16.42,37.0848,2029.0114,0.6236,12355.533,3.7978,,浙江龙盛,14.59,浙江龙盛,20.58,,1
52,2019/10/31,600362,江西铜业,0.12,江西铜业,1.69,0.38,3.4591,787.5381,0.2274,202308.2202,58.4244,,江西铜业,3.37,江西铜业,4.91,,
53,2019/10/31,600369,西南证券,0.1,西南证券,4.82,25.26,31.8751,917.5727,0.1625,3631.6596,0.6433,,西南证券,3.45,西南证券,1.21,,
54,2019/10/31,600372,中航电子,0.06,中航电子,7.66,6.61,33.1078,460.4136,0.2617,6958.6783,3.9556,,中航电子,7.63,中航电子,6.33,,
55,2019/10/31,600383,金地集团,0.21,金地集团,16.83,11.38,29.2723,6300.4607,1.3998,55329.4805,12.2931,,金地集团,16.78,金地集团,17.43,,1
56,2019/10/31,600390,五矿资本,0.04,五矿资本,10.99,17.41,4.1777,1557.0579,3.4504,8938.4178,19.8078,,五矿资本,7.9,五矿资本,6.92,,
57,2019/10/31,600398,海澜之家,0.11,海澜之家,31.08,18.36,38.9905,3122.6473,0.695,16999.5917,3.7837,,海澜之家,29.78,海澜之家,26.66,,1
58,2019/10/31,600406,国电南瑞,0.32,国电南瑞,16.35,12.67,22.7776,1447.1765,0.5958,11415.283,4.6996,,国电南瑞,16.72,国电南瑞,14.97,,1
59,2019/10/31,600415,小商品城,0.08,小商品城,10.45,15.06,43.4206,1060.2746,0.1947,7038.0316,1.2929,,小商品城,13.04,小商品城,9.2,,
60,2019/10/31,600436,片仔癀,0.26,片仔癀,15.34,23.21,48.9457,536.1319,0.8886,2308.9543,3.827,,片仔癀,19.51,片仔癀,22.78,,1
61,2019/10/31,600438,通威股份,0.2,通威股份,8.77,4.9,15.7326,1024.7244,0.2639,20884.049,5.3791,,通威股份,15.08,通威股份,13.69,,
62,2019/10/31,600482,中国动力,0.11,中国动力,4.21,5.17,17.3888,1073.249,0.617,20741.1862,11.9257,,中国动力,4.6,中国动力,5.19,,
63,2019/10/31,600487,亨通光电,0.16,亨通光电,22.5,6.82,21.0716,1316.3915,1.0605,19300.5464,15.549,,亨通光电,20.38,亨通光电,20.38,,1
64,2019/10/31,600489,中金黄金,0.11,中金黄金,2.73,0.93,8.5141,362.3692,0.1049,38928.0343,11.2797,,中金黄金,2.16,中金黄金,1.43,,
65,2019/10/31,600498,烽火通信,0.15,烽火通信,10.44,4.38,24.2917,760.4334,0.7268,17361.0783,16.5932,,烽火通信,8.65,烽火通信,8.43,,
66,2019/10/31,600516,方大炭素,0.14,方大炭素,1.15,2.81,25.4047,67.4489,0.0392,2395.2916,1.3932,,方大炭素,37.31,方大炭素,44.29,,1
67,2019/10/31,600519,贵州茅台,4.69,贵州茅台,22.93,43.01,91.2251,16718.3627,13.3087,38862.19,30.9363,,贵州茅台,29.61,贵州茅台,31.19,,1
68,2019/10/31,600522,中天科技,0.16,中天科技,13.29,7.52,16.3837,1588.0483,0.6082,21107.9503,8.0849,,中天科技,10.15,中天科技,11,,1
69,2019/10/31,600535,天士力,0.11,天士力,14.77,8.43,36.5127,1176.4249,1.0888,13945.497,12.9068,,天士力,15.9,天士力,14.66,,1
70,2019/10/31,600547,山东黄金,0.26,山东黄金,8.33,2.57,8.7646,1292.7761,0.6961,50198.8526,27.0305,,山东黄金,6.96,山东黄金,4.05,,
71,2019/10/31,600566,济川药业,0.06,济川药业,25.54,19.97,85.2401,934.1829,1.1538,4677.8916,5.7778,,济川药业,27.79,济川药业,30.92,,1
72,2019/10/31,600570,恒生电子,0.39,恒生电子,0.76,0.84,95.4152,18.2914,0.0296,2170.1662,3.5127,,恒生电子,15.33,恒生电子,20.28,,
73,2019/10/31,600583,海油工程,0.11,海油工程,5.68,10.96,15.8149,1315.3071,0.2974,11991.6833,2.7122,,海油工程,2.12,海油工程,0.34,,
74,2019/10/31,600585,海螺水泥,0.67,海螺水泥,11.13,15.25,32.4715,8529.9168,1.6096,55931.901,10.5545,,海螺水泥,17.73,海螺水泥,26.45,,1
75,2019/10/31,600588,用友网络,0.29,用友网络,3.47,3.86,68.6396,197.3917,0.1348,5113.3489,3.492,,用友网络,6.65,用友网络,9.31,,
76,2019/10/31,600606,绿地控股,0.2,绿地控股,12.8,2.91,15.1131,7207.2992,0.5923,247160.2171,20.312,,绿地控股,14.45,绿地控股,16.22,,1
77,2019/10/31,600637,东方明珠,0.15,东方明珠,11.07,15.08,26.1647,2934.0142,1.117,19445.4864,7.4034,,东方明珠,8.11,东方明珠,7.13,,
78,2019/10/31,600660,福耀玻璃,0.24,福耀玻璃,17.43,18.91,43.0653,3144.2273,1.2533,16621.3363,6.6256,,福耀玻璃,16.57,福耀玻璃,20.4,,1
79,2019/10/31,600663,陆家嘴,0.1,陆家嘴,19.39,20.68,47.1955,2648.736,0.7878,12807.1481,3.8095,,陆家嘴,21.85,陆家嘴,20.81,,1
80,2019/10/31,600674,川投能源,0.14,川投能源,17.12,351.19,39.6729,3516.494,0.7988,1001.2951,0.2274,,川投能源,14.52,川投能源,14.37,,1
81,2019/10/31,600688,上海石化,0.07,上海石化,24.06,7.64,28.4372,5955.576,0.5514,77894.285,7.2124,,上海石化,21.73,上海石化,17.37,,1
82,2019/10/31,600690,海尔智家,0.46,海尔智家,19.1,4.23,31.024,5036.6522,0.826,119065.8252,19.5265,,海尔智家,21.49,海尔智家,18.88,,1
83,2019/10/31,600703,三安光电,0.29,三安光电,12.42,34.54,41.6464,2166.6523,0.5312,6272.6027,1.5379,,三安光电,16,三安光电,13.31,,1
84,2019/10/31,600704,物产中大,0.08,物产中大,10.68,1.04,3.4378,2154.3236,0.7503,206898.8724,72.062,,物产中大,10.18,物产中大,10.04,,1
85,2019/10/31,600705,中航资本,0.2,中航资本,10.45,55.33,55.4331,2324.1449,0.2589,4199.8431,0.4678,,中航资本,11.96,中航资本,11.42,,1
86,2019/10/31,600733,北汽蓝谷,0.02,北汽蓝谷,-18.07,-622.28,48.2773,-33.4021,-0.169,5.3676,0.0271,,北汽蓝谷,4.01,北汽蓝谷,0.95,,
87,2019/10/31,600741,华域汽车,0.31,华域汽车,15.94,4.88,14.6596,6075.7586,1.9271,124295.813,39.4248,,华域汽车,15.87,华域汽车,17.69,,1
88,2019/10/31,600760,中航沈飞,0.1,中航沈飞,8.06,3.08,6.978,36.1143,0.1046,1170.81,3.3942,,中航沈飞,9.9,中航沈飞,9.45,,
89,2019/10/31,600795,国电电力,0.22,国电电力,9.08,8.09,25.5801,4727.2837,0.2405,58416.0498,2.9727,,国电电力,4.31,国电电力,2.69,,
90,2019/10/31,600809,山西汾酒,0.18,山西汾酒,12.71,13.73,68.6821,605.126,0.6988,4404.9483,5.0874,,山西汾酒,18.03,山西汾酒,23.6,,1
91,2019/10/31,600816,安信信托,0.07,安信信托,22.11,57.83,76.6799,3033.9474,1.4645,5245.959,2.5322,,安信信托,22.65,安信信托,-15.25,,
92,2019/10/31,600837,海通证券,0.9,海通证券,7.3,28.71,38.0164,8043.3345,0.6993,28011.6653,2.4354,,海通证券,7.31,海通证券,4.42,,
93,2019/10/31,600867,通化东宝,0.15,通化东宝,16.27,31.41,75.8942,640.9234,0.4507,2040.3945,1.4349,,通化东宝,18.47,通化东宝,17.75,,1
94,2019/10/31,600886,国投电力,0.22,国投电力,13.65,13.38,48.4106,3916.4476,0.5771,29270.803,4.3133,,国投电力,10.57,国投电力,11.57,,1
95,2019/10/31,600887,伊利股份,1.4,伊利股份,24.52,9.38,37.9436,5661.8077,0.9335,60312.0097,9.9445,,伊利股份,23.9,伊利股份,23.06,,1
96,2019/10/31,600893,航发动力,0.15,航发动力,5.7,4,19.5068,890.6955,0.457,22217.2857,11.4009,,航发动力,3.72,航发动力,4.02,,
97,2019/10/31,600900,长江电力,0.93,长江电力,16.21,42.46,60.6902,20781.1826,0.9445,48939.3887,2.2245,,长江电力,16.47,长江电力,15.9,,1
98,2019/10/31,600919,江苏银行,0.39,江苏银行,12.83,33.83,42.9502,10610.579,0.9191,31359.045,2.7163,,江苏银行,10.68,江苏银行,10.65,,1
99,2019/10/31,600926,杭州银行,0.15,杭州银行,10.42,29.27,34.372,4020.927,1.5362,13732.844,5.2466,,杭州银行,8.77,杭州银行,9.46,,
100,2019/10/31,600958,东方证券,0.28,东方证券,5.71,33.64,37.8574,2313.9749,0.3722,6876.939,1.1064,,东方证券,6.7,东方证券,2.37,,
101,2019/10/31,600977,中国电影,0.08,中国电影,9.38,11.7,20.7094,917.4542,0.4914,7840.7122,4.1996,,中国电影,9.33,中国电影,13.37,,
102,2019/10/31,600998,九州通,0.06,九州通,7.77,1.42,7.837,876.7418,0.5323,61556.8399,37.3745,,九州通,7.89,九州通,7.25,,
103,2019/10/31,600999,招商证券,0.37,招商证券,9.03,46.2,54.6089,5403.4506,0.8065,11695.4536,1.7457,,招商证券,7.3,招商证券,5.48,,
104,2019/10/31,601006,大秦铁路,0.36,大秦铁路,7.98,16.06,17.1941,7168.4875,0.4821,44624.88,3.0016,,大秦铁路,13.42,大秦铁路,13.65,,
105,2019/10/31,601009,南京银行,0.41,南京银行,13.34,31.03,39.4865,8261.635,1.3635,26620.668,4.3937,,南京银行,14.35,南京银行,14.23,,1
106,2019/10/31,601012,隆基股份,0.46,隆基股份,15.33,13.41,27.4844,1547.2358,0.7749,11530.5335,5.7749,,隆基股份,25.11,隆基股份,15.54,,1
107,2019/10/31,601018,宁波港,0.12,宁波港,6.64,14.08,24.8675,2298.92,0.1745,16325.329,1.2393,,宁波港,7.35,宁波港,7.52,,
108,2019/10/31,601021,春秋航空,0.13,春秋航空,12.97,11.27,12.8004,950.519,1.1872,8429.4043,10.5291,,春秋航空,14.9,春秋航空,11.27,,1
109,2019/10/31,601066,中信建投,0.08,中信建投,12.8,39.66,52.6967,5259.2517,0.8621,13258.7704,2.1735,,中信建投,9.17,中信建投,6.48,,
110,2019/10/31,601088,中国神华,0.48,中国神华,7.27,12.4,39.5125,22712,1.1419,183127,9.2071,,中国神华,14.93,中国神华,13.38,,
111,2019/10/31,601108,财通证券,0.2,财通证券,9.26,40.24,50.9911,1222.8236,0.6793,3038.1243,1.6878,,财通证券,7.23,财通证券,4.16,,
112,2019/10/31,601111,中国国航,0.2,中国国航,9.89,5.97,23.4822,6814.015,0.5207,113963.99,8.7096,,中国国航,8.4,中国国航,7.87,,
113,2019/10/31,601117,中国化学,0.09,中国化学,6.44,3.33,14.0169,1770.3843,0.3588,53075.7556,10.7593,,中国化学,5.49,中国化学,5.88,,
114,2019/10/31,601138,工业富联,0.15,工业富联,18.58,5.26,10.6486,14365.697,0.8104,272712.651,15.385,,工业富联,56.34,工业富联,23.37,,1
115,2019/10/31,601155,新城控股,0.23,新城控股,20.32,10.79,27.8703,3019.2285,1.3365,27969.2825,12.3813,,新城控股,29.23,新城控股,34.4,,1
116,2019/10/31,601162,天风证券,0.03,天风证券,6.26,21.67,36.2603,671.5677,2.1319,3097.9197,9.8346,,天风证券,3.66,天风证券,2.45,,
117,2019/10/31,601166,兴业银行,2.16,兴业银行,15.38,34.28,40.3553,53850,2.7662,157060,8.2436,,兴业银行,13.72,兴业银行,13,,1
118,2019/10/31,601169,北京银行,0.65,北京银行,12.52,37.51,47.0562,17802,1.1706,47456,3.1207,,北京银行,10.71,北京银行,10.39,,1
119,2019/10/31,601186,中国铁建,0.34,中国铁建,10.67,2.22,9.2082,13999.61,1.0309,629327.09,46.3437,,中国铁建,10.74,中国铁建,10.55,,1
120,2019/10/31,601198,东兴证券,0.12,东兴证券,7.38,37.86,45.7374,1352.9293,0.4905,3573.1576,1.2955,,东兴证券,6.81,东兴证券,5.13,,
121,2019/10/31,601211,国泰君安,0.61,国泰君安,9.84,38.19,54.6057,9841.4167,1.2906,25764.6517,3.3789,,国泰君安,8.02,国泰君安,5.43,,
122,2019/10/31,601212,白银有色,0.02,白银有色,2.26,0.44,3.0645,251.5244,0.04,55949.6032,8.9163,,白银有色,2.3,白银有色,0.26,,
123,2019/10/31,601216,君正集团,0.08,君正集团,11.58,27.71,43.147,1583.9184,0.1877,5714.0537,0.6771,,君正集团,13.63,君正集团,13.93,,1
124,2019/10/31,601225,陕西煤业,0.27,陕西煤业,8.01,8.31,43.3888,2754.8853,0.2754,33131.7464,3.3131,,陕西煤业,23.62,陕西煤业,21.69,,
125,2019/10/31,601228,广州港,0.06,广州港,6.71,8.67,25.4858,670.8788,0.1221,7737.3872,1.4082,,广州港,5.77,广州港,5.72,,
126,2019/10/31,601229,上海银行,0.53,上海银行,12.35,41.58,47.1193,14308.265,2.3829,34408.813,5.7305,,上海银行,10.42,上海银行,11.18,,1
127,2019/10/31,601238,广汽集团,0.08,广汽集团,14.35,12.72,19.951,6288.2159,0.9744,49417.6762,7.6576,,广汽集团,15.54,广汽集团,14.24,,1
128,2019/10/31,601288,农业银行,1.1,农业银行,13.95,36.35,44.385,183941,0.5663,506016,1.5579,,农业银行,13.52,农业银行,12.14,,1
129,2019/10/31,601298,青岛港,0.03,青岛港,15.35,25.17,30.3013,2186.1535,0.3621,8684.1897,1.4385,,青岛港,12.91,青岛港,13.31,,1
130,2019/10/31,601318,中国平安,7.56,中国平安,16.27,8.75,13.1051,62394,3.4131,712453,38.9739,,中国平安,18.82,中国平安,19.29,,1
131,2019/10/31,601319,中国人保,0.07,中国人保,11.41,3.22,5.7845,14334,0.3378,444672,10.4816,,中国人保,11.7,中国人保,8.82,,
132,2019/10/31,601328,交通银行,1.22,交通银行,10.68,34.8,44.1933,67210,0.8931,193129,2.6006,,交通银行,10.46,交通银行,10.54,,1
133,2019/10/31,601336,新华保险,0.32,新华保险,8.35,3.38,4.4228,4942,1.5842,146173,46.8571,,新华保险,8.44,新华保险,12.07,,
134,2019/10/31,601360,三六零,0.07,三六零,9.43,6.59,31.4939,159.4474,0.4014,2417.2473,6.0859,,三六零,21.01,三六零,14.73,,
135,2019/10/31,601377,兴业证券,0.24,兴业证券,6.45,26.96,38.331,2046.3214,0.3055,7589.0669,1.1332,,兴业证券,6.83,兴业证券,0.41,,
136,2019/10/31,601390,中国中铁,0.37,中国中铁,8.91,1.95,8.5878,12509.165,0.5475,639406.523,27.9897,,中国中铁,10.34,中国中铁,8.96,,
137,2019/10/31,601398,工商银行,1.01,工商银行,14.12,41.16,53.3096,278249,0.7682,675891,1.8964,,工商银行,13.44,工商银行,12.77,,1
138,2019/10/31,601555,东吴证券,0.17,东吴证券,7.4,32.25,41.7131,1498.2885,0.4994,4645.226,1.5484,,东吴证券,3.78,东吴证券,1.77,,
139,2019/10/31,601577,长沙银行,0.03,长沙银行,15.99,31.77,42.5313,3190.076,1.7644,10040.28,5.5532,,长沙银行,16.88,长沙银行,14.44,,1
140,2019/10/31,601600,中国铝业,0.18,中国铝业,1.05,0.27,7.5347,402.494,0.027,144065.518,9.6663,,中国铝业,3.49,中国铝业,1.66,,
141,2019/10/31,601601,中国太保,0.86,中国太保,9.15,4.51,6.0192,12057,1.3305,267014,29.4652,,中国太保,10.66,中国太保,12.04,,
142,2019/10/31,601607,上海医药,0.17,上海医药,10.1,2.64,11.7864,3196.3946,1.1887,120764.6603,44.9121,,上海医药,10.34,上海医药,9.94,,
143,2019/10/31,601618,中国中冶,0.16,中国中冶,7.61,2.44,12.8384,5375.858,0.2813,219557.579,11.4891,,中国中冶,7.34,中国中冶,7.59,,
144,2019/10/31,601628,中国人寿,0.44,中国人寿,6.29,3.47,4.3756,19127,0.6767,549771,19.4507,,中国人寿,10.04,中国人寿,3.57,,
145,2019/10/31,601633,长城汽车,0.09,长城汽车,22.3,10.71,24.4642,10551.1589,1.156,98443.6651,10.7856,,长城汽车,10.23,长城汽车,9.91,,
146,2019/10/31,601668,中国建筑,0.87,中国建筑,15.68,3.11,10.1043,29870.104,0.9956,959765.486,31.9921,,中国建筑,15.33,中国建筑,15.67,,1
147,2019/10/31,601669,中国电建,0.27,中国电建,10.98,2.83,12.9912,6771.8125,0.4923,238695.8968,17.3538,,中国电建,9.34,中国电建,8.93,,
148,2019/10/31,601688,华泰证券,0.5,华泰证券,7.43,37.06,49.642,6270.6115,0.8754,16917.0194,2.3617,,华泰证券,10.62,华泰证券,4.86,,
149,2019/10/31,601727,上海电气,0.14,上海电气,4.56,2.6,21.6781,2060.17,0.1533,79078.361,5.8876,,上海电气,4.78,上海电气,5.26,,
